source_id,Address,Town,Province,Source_type,Improvement,Source_status,Date_of_completion,Comments
AkRu02754224,104 Nia Lane,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08104224,104 Pwani Ya Utukufu Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05636224,104 Ramaphosa Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06108224,104 Simba Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07354224,104 Ukingo Wa Jua Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05474224,104 Wole Soyinka Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04546224,105 Antananarivo Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03755224,105 Lumumba Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07986224,105 Maji Mema Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07396224,105 Ukingo Wa Jua Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04060224,105 Victoria Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05400224,105 Wole Soyinka Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04527224,106 Antananarivo Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06898224,106 Fisi Nkrumah Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05275224,106 Kenyatta Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu02745224,106 Nia Lane,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06314224,106 Punda Kagame Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08177224,106 Pwani Ya Utukufu Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07367224,106 Ukingo Wa Jua Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04155224,106 Victoria Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04288224,107 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04820224,107 Giza Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05199224,107 Kenyatta Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03529224,107 Koinange Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05876224,107 Mbeki Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07609224,107 Mto Wa Furaha Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu02807224,107 Nia Lane,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06554224,107 Popo Kamuzu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03290224,107 Savanna Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08443224,108 African Skies Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04947224,108 Bissau Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03643224,108 Koinange Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06521224,108 Popo Kamuzu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07188224,108 Simba Tutu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05386224,108 Wole Soyinka Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04323224,109 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04956224,109 Bissau Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04729224,109 Giza Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07949224,109 Maji Mema Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu02814224,109 Nia Lane,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06286224,109 Punda Kagame Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04080224,109 Victoria Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03154224,11 Asmara Boulevard,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04308224,11 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07473224,11 Bahari Ya Kunata Avenue,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04934224,11 Bissau Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu02998224,11 Dakar Crescent,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06892224,11 Fisi Nkrumah Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05224224,11 Kenyatta Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03188224,11 Kigali Place,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07826224,11 Maji Mema Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08047224,11 Milima Nyeusi Drive,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04005224,11 Moi Avenue,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07529224,11 Mto Wa Furaha Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03435224,11 Onyx Drive,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06475224,11 Punda Kagame Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08120224,11 Pwani Ya Utukufu Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu02967224,11 Sahara Terrace,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03090224,11 Swahili Grove,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06200224,11 Tembo Mandela Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04496224,110 Antananarivo Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05060224,110 Bissau Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07561224,110 Mto Wa Furaha Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06294224,110 Punda Kagame Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05435224,110 Wole Soyinka Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04482224,111 Antananarivo Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04401224,111 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06922224,111 Fisi Nkrumah Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05849224,111 Mbeki Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06331224,111 Punda Kagame Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06119224,111 Simba Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07154224,111 Simba Tutu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07393224,111 Ukingo Wa Jua Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04576224,112 Antananarivo Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03657224,112 Koinange Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08929224,112 Ladysmith Black Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03795224,112 Lumumba Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07869224,112 Maji Mema Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07570224,112 Mto Wa Furaha Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06482224,112 Popo Kamuzu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08208224,112 Pwani Ya Utukufu Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06051224,112 Simba Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08387224,113 African Skies Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05100224,113 Bissau Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08300224,113 Freedom Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06371224,113 Punda Kagame Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07324224,113 Ukingo Wa Jua Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04430224,114 Antananarivo Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04340224,114 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08351224,114 Freedom Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03834224,114 Lumumba Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05817224,114 Mbeki Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06505224,114 Popo Kamuzu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06341224,114 Punda Kagame Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07748224,114 Ukingo Wa Mto Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05499224,114 Wole Soyinka Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04385224,115 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08349224,115 Freedom Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08839224,115 Ladysmith Black Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05978224,115 Mbeki Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06639224,115 Popo Kamuzu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07176224,115 Simba Tutu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07301224,115 Ukingo Wa Jua Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04349224,116 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03578224,116 Koinange Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08867224,116 Ladysmith Black Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06594224,116 Popo Kamuzu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07163224,116 Simba Tutu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06215224,116 Tembo Mandela Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05425224,116 Wole Soyinka Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08474224,117 African Skies Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04421224,117 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05079224,117 Bissau Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06945224,117 Fisi Nkrumah Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08352224,117 Freedom Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07921224,117 Maji Mema Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07051224,117 Simba Tutu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05444224,117 Wole Soyinka Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04900224,118 Giza Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05173224,118 Kenyatta Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03674224,118 Koinange Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05841224,118 Mbeki Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03332224,118 Savanna Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07351224,118 Ukingo Wa Jua Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07731224,118 Ukingo Wa Mto Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08527224,119 African Skies Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04328224,119 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08273224,119 Freedom Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03628224,119 Koinange Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07974224,119 Maji Mema Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07592224,119 Mto Wa Furaha Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu02769224,119 Nia Lane,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06124224,119 Simba Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04179224,119 Victoria Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04470224,12 Antananarivo Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04239224,12 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07474224,12 Bahari Ya Kunata Avenue,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05033224,12 Bissau Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06931224,12 Fisi Nkrumah Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03059224,12 Giza Promenade,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04632224,12 Marrakech Avenue,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08716224,12 Niger Drive,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03389224,12 Savanna Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06624224,120 Popo Kamuzu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03267224,120 Savanna Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06116224,120 Simba Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06275224,120 Tembo Mandela Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04197224,120 Victoria Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08437224,121 African Skies Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04399224,121 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06955224,121 Fisi Nkrumah Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03652224,121 Koinange Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08937224,121 Ladysmith Black Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06576224,121 Popo Kamuzu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03388224,121 Savanna Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06086224,121 Simba Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06253224,121 Tembo Mandela Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04218224,121 Victoria Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04447224,122 Antananarivo Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05822224,122 Mbeki Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07537224,122 Mto Wa Furaha Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05683224,122 Ramaphosa Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06107224,122 Simba Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07382224,122 Ukingo Wa Jua Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08402224,123 African Skies Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07927224,123 Maji Mema Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu02793224,123 Nia Lane,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08196224,123 Pwani Ya Utukufu Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06164224,123 Tembo Mandela Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07438224,123 Ukingo Wa Jua Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07762224,123 Ukingo Wa Mto Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04174224,123 Victoria Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08436224,124 African Skies Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04439224,124 Antananarivo Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08221224,124 Freedom Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05282224,124 Kenyatta Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03787224,124 Lumumba Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05936224,124 Mbeki Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06629224,124 Popo Kamuzu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06328224,124 Punda Kagame Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04371224,125 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05082224,125 Bissau Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07572224,125 Mto Wa Furaha Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06436224,125 Punda Kagame Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06256224,125 Tembo Mandela Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08487224,126 African Skies Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03571224,126 Koinange Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu02774224,126 Nia Lane,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05993224,126 Simba Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07344224,126 Ukingo Wa Jua Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04446224,127 Antananarivo Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05174224,127 Kenyatta Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07648224,127 Mto Wa Furaha Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu02840224,127 Nia Lane,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06428224,127 Punda Kagame Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08115224,127 Pwani Ya Utukufu Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05648224,127 Ramaphosa Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03285224,127 Savanna Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07222224,127 Simba Tutu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07293224,127 Ukingo Wa Jua Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08249224,128 Freedom Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04836224,128 Giza Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05688224,128 Ramaphosa Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04089224,128 Victoria Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08520224,129 African Skies Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06512224,129 Popo Kamuzu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05665224,129 Ramaphosa Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06265224,129 Tembo Mandela Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05399224,129 Wole Soyinka Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03135224,13 Asmara Boulevard,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04293224,13 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04977224,13 Bissau Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06791224,13 Chakula Ramaphosa Drive,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08251224,13 Freedom Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03054224,13 Giza Promenade,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03903224,13 Haile Selassie Avenue,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu05837224,13 Mbeki Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu06684224,13 Mbuni Nyerere Avenue,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03456224,13 Onyx Drive,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu08175224,13 Pwani Ya Utukufu Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07244224,13 Simba Tutu Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu03075224,13 Swahili Grove,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu07294224,13 Ukingo Wa Jua Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04697224,13 Windhoek Way,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04520224,130 Antananarivo Road,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
AkRu04271224,130 Asmara Street,Rural,Akatsi,well,Install RO filter,Backlog,\N,\N
